DESCRIPTION,SNOMED CT CODE
Wuhan 2019-nCoV (novel coronavirus) detected,1.24058E+15
2019-nCoV (novel coronavirus) detected,1.24058E+15
Detection of 2019 novel coronavirus using polymerase chain reaction technique,1.24051E+15
2019 novel coronavirus detected,1.24058E+15
Detection of 2019-nCoV (novel coronavirus) using polymerase chain reaction technique,1.24051E+15
COVID-19 confirmed by laboratory test,1.30072E+15
Detection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) using polymerase chain reaction technique,1.24051E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detected,1.24058E+15
Detection of Wuhan 2019-nCoV (novel coronavirus) using polymerase chain reaction technique,1.24051E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detection result positive,1.24058E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) qualitative existence in specimen,1.3213E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive,1.24058E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive at the limit of detection,1.32488E+15
Detection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen,871553007
Detection of ribonucleic acid of 2019 novel coronavirus in nasopharyngeal swab,871556004
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result positive,1.32278E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive,1.3246E+15
Detection of RNA (ribonucleic acid) of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) using polymerase chain reaction,871560001
Detection of ribonucleic acid of COVID-19 using polymerase chain reaction,871560001
Detection of RNA (ribonucleic acid) of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) in oropharyngeal swab,871557008
Detection of RNA (ribonucleic acid) of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) in nasopharyngeal swab,871556004
2019-nCoV (novel coronavirus) antigen detection result positive,1.32278E+15
2019-nCoV (novel coronavirus) ribonucleic acid detected,1.3246E+15
2019-nCoV (novel coronavirus) detection result positive at the limit of detection,1.32488E+15
