DESCRIPTION,SNOMED CT CODE
Myasthenia gravis,91637004
Juvenile or adult myasthenia gravis,193207007
Myasthenic syndrome due to hypothyroidism,193212008
Myasthenic syndrome due to pernicious anaemia,193213003
Myasthenic syndrome due to thyrotoxicosis,193214009
Myasthenic syndrome due to diabetic amyotrophy,267604001
Colitis gravis,64766004
Junctional epidermolysis bullosa gravis of Herlitz,400140006
Myasthenic syndrome due to another disorder,193209005
Erb-Goldflam disease,91637004
"Ehlers-Danlos syndrome, gravis",83470009
Myasthenic syndrome due to pernicious anemia,193213003
Myasthenia angiosclerotica,63491006
Myasthenic syndrome due to other malignancy,193209005
Myasthenia gravis NOS,91637004
[X]Other myasthenic syndromes in neoplastic disease CE,91637004
Myasthenic syndrome due to disease NOS,193209005
[X]Myasthenic syndromes in endocrine diseases CE,91637004
[X]Myasthenic syndromes/other diseases classified elsewhere,91637004
Myasthenic syndrome due to botulism,398565003
Myasthenic syndrome,56989000
Myasthenic syndrome due to disease EC,193209005
MG - Myasthenia gravis,91637004
Generalised myasthenia,230686005
Ocular myasthenia,230684008
Myasthenic syndrome due to pernicious anaemia,193213003
Congenital deficiency of intrinsic factor,234361004
Biermer's congenital pernicious anaemia,234362006
[RFC] Pernicious anaemia,9.06551E+14
Addison's anaemia,84027009
Biermer's anaemia,84027009
Biermer's anemia,84027009
Addisonian pernicious anaemia,84027009
PA - Pernicious anaemia,84027009
Addison's anemia,84027009
Pernicious anemia,84027009
Biermer congenital pernicious anemia,234362006
Myasthenic syndrome due to pernicious anemia,193213003
Addisonian pernicious anemia,84027009
Pernicious anaemia,84027009
Biermer's congenital pernicious anemia,234362006
Guttate psoriasis,37042000
H/O: psoriasis,161562002
Psoriasis annularis,200962007
Psoriasis diffusa,200964008
Psoriasis geographica,200966005
Psoriasis palmaris,200970002
Psoriasis plantaris,200971003
Pustular psoriasis,200973000
Psoriasis universalis,200974006
Erythrodermic psoriasis,200977004
Scalp psoriasis,238608008
Palmoplantar pustular psoriasis,27520001
[RFC] Psoriasis,9.05681E+14
Chronic large plaque psoriasis,402307000
Other psoriasis,9014002
Psoriasis NOS,9014002
Other psoriasis and similar disorders,399937000
Psoriasis and similar disorders NOS,9014002
[X]Other psoriasis,9014002
Psoriasis discoidea,200965009
Psoriasis ostracea,200969003
Psoriasis spondylitica,200956002
Psoriasis area and severity index,8.66341E+14
History of psoriasis,161562002
Psoriasis vulgaris & (Chronic large plaque psoriasis),200975007
Pustular psoriasis of the palms AND/OR soles,27520001
Psoriasis area and severity index score,8.66341E+14
Ostraceous psoriasis,200969003
PASI (psoriasis area and severity index) score,8.66341E+14
Discoid psoriasis,200965009
Inverse psoriasis,238600001
Rupioid psoriasis,200969003
Nummular psoriasis,200965009
Psoriasis guttata,37042000
Exfoliative psoriasis,200977004
Flexural psoriasis,238600001
Flexural psoriasis,238600001
Psoriasis gyrata,200967001
Psoriasis punctata,200972005
Psoriasis unspecified,9014002
Acute palmoplantar pustular psoriasis,3533007
Pustular psoriasis of palms and soles,27520001
Psoriasis circinata,200963002
Psoriasis vulgaris,200975007
Chronic palmoplantar pustular psoriasis,27520001
Psoriasis and similar disorders,9014002
Chronic large plaque psoriasis,1.58383E+15
Psoriasis And Eczema,1.0111E+13
Psoriasis inveterata,200968006
PASI - psoriasis area and severity index,8.66311E+14
Actively extending plaque psoriasis,402311006
Chronic stable plaque psoriasis,402310007
Psoriasis area and severity index,8.66311E+14
Unstable psoriasis,238601002
Eczematised psoriasis,238603004
Psoriasis-eczema overlap condition,238602009
Chronic small plaque psoriasis,402308005
Köbner psoriasis,238609000
Psoriasis of nail,238604005
Sebopsoriasis,25847004
Psoriasis and similar disorders,200955003
Felty's syndrome,57160007
H/O: rheumatoid arthritis,161567008
Polyneuropathy in rheumatoid arthritis,193180002
Rheumatoid arthritis of cervical spine,201764007
Rheumatoid arthritis of sternoclavicular joint,201767000
Rheumatoid arthritis of acromioclavicular joint,201768005
Rheumatoid arthritis of elbow,201769002
Rheumatoid arthritis of wrist,201771002
Rheumatoid arthritis of ankle,201779000
Rheumatoid arthritis of subtalar joint,201780002
Rheumatoid arthritis of talonavicular joint,201781003
Flare of rheumatoid arthritis,201791009
Rheumatoid arthritis - multiple joint,287006005
Rheumatoid nodule,33719002
Rheumatoid lung disease,398726004
Rheumatoid lung,398726004
Delivery of rehabilitation for rheumatoid arthritis,2.31041E+14
Rheumatoid arthritis NOS,69896004
Rheum. arth. - other joint,69896004
Rheum. arth. - ankle/foot,69896004
Rheum. arth. - knee joint,69896004
Rheum. arth. - hip joint,69896004
Rheum. arth. - hand joint,69896004
Rheum. arth. - wrist joint,69896004
Rheum. arth. - shoulder joint,69896004
Rheum. arth. - multiple joint,69896004
Rheum. arth. - wrist joint,201771002
Rheum. arth. - hand joint,201772009
Rheum. arth. - knee joint,201777003
Rheum. arth. - ankle/foot,201779000
Rheumatoid arthritis monitoring invitation,1.87556E+15
Rheumatoid arthritis monitoring telephone invitation,1.87557E+15
Rheumatoid arthritis monitoring verbal invitation,1.87558E+15
Rheumatoid arthritis monitoring invitation first letter,1.87559E+15
Rheumatoid arthritis monitoring invitation second letter,1.8756E+15
Rheumatoid arthritis monitoring invitation third letter,1.87561E+15
3D study - problems with rheumatoid arthritis management,1.93212E+15
Rheumatoid arthritis annual review,8.47261E+14
Rheumatoid arthritis monitoring invitation first letter,8.82401E+14
Rheumatoid arthritis monitoring invitation third letter,8.82441E+14
Rheumatoid arthritis monitoring verbal invitation,8.82461E+14
Fibrosing alveolitis associated with rheumatoid arthritis,10713006
[X]Other seropositive rheumatoid arthritis,239791005
[X]Other specified rheumatoid arthritis,69896004
"[X]Seropositive rheumatoid arthritis, unspecified",239791005
Rheumatoid arthritis of distal radio-ulnar joint,201770001
Rheumatoid arthritis of IP joint of toe,201785007
Rheumatoid arthritis of lesser MTP joint,201784006
Rheumatoid arthritis of MCP joint,201772009
Rheumatoid lung,398726004
Rheumatoid arthritis and other inflammatory polyarthropathy,69896004
Rheumatoid arthritis of 1st MTP joint,201783000
Exception reporting: rheumatoid arthritis quality indicators,8.05941E+14
Except rheumatoid arthritis quality indicator: pt unsuitable,8.05961E+14
Other rheumatoid arthritis of spine,9631008
Rheumatoid arthritis of other tarsal joint,429192004
Seropositive errosive rheumatoid arthritis,308143008
Rheumatoid Arthritis Impact of Disease questionnaire,1.04831E+15
Disease activity score 28 joint in rheumatoid arthritis,441870009
Rheumatoid Arthritis Impact of Disease questionnaire score,1.04831E+15
Chronic rheumatic arthritis,69896004
Rheumatoid arthritis of multiple joints,287006005
Rheumatoid arthritis of first metatarsophalangeal joint,201783000
Rheumatoid arthritis of tibiofibular joint,201778008
Rheumatoid arthritis of distal radioulnar joint,201770001
Seropositive errosive rheumatoid arthritis,308143008
Caplans syndrome,398640008
"Rheumatoid arthritis, leucopenia AND splenomegaly",57160007
"Rheumatoid arthritis, leukopenia AND splenomegaly",57160007
Subcutaneous rheumatoid nodule,33719002
RhA - Rheumatoid arthritis,69896004
QOF (Quality and Outcomes Framework) rheumatoid arthritis quality indicator-related care invitation,1.11096E+15
Rheumatoid arthritis monitoring invitation,8.82321E+14
Rheumatoid arthritis monitoring telephone invitation,8.82481E+14
Rheum. arth. - hip joint,201775006
Rheum. arth. - elbow joint,69896004
[RFC] Rheumatoid arthritis,9.09191E+14
Rheumatoid arthritis of shoulder,201766009
Rheumatoid arthritis of hip,201775006
Rheumatoid arthritis of knee,201777003
Rheumatoid arthritis of DIP joint of finger,201774005
Rheumatoid arthritis of PIP joint of finger,201773004
