DESCRIPTION,SNOMED CT CODE
Suspected disease caused by Wuhan 2019-nCoV (novel coronavirus),1.24076E+15
Myocarditis caused by 2019 novel coronavirus,1.24053E+15
Disease caused by 2019 novel coronavirus,1.24075E+15
Wuhan 2019-nCoV (novel coronavirus) detected,1.24058E+15
Otitis media caused by Wuhan 2019-nCoV (novel coronavirus),1.24052E+15
Upper respiratory tract infection caused by 2019-nCoV (novel coronavirus),1.24054E+15
Otitis media caused by 2019 novel coronavirus,1.24052E+15
2019-nCoV (novel coronavirus) detected,1.24058E+15
Disease caused by Wuhan 2019-nCoV (novel coronavirus),1.24075E+15
Pneumonia caused by 2019 novel coronavirus,1.24055E+15
Detection of 2019 novel coronavirus using polymerase chain reaction technique,1.24051E+15
2019 novel coronavirus detected,1.24058E+15
Telephone consultation for suspected 2019-nCoV (novel coronavirus),1.24045E+15
Gastroenteritis caused by Wuhan 2019-nCoV (novel coronavirus),1.24057E+15
Telephone consultation for suspected Wuhan 2019-nCoV (novel coronavirus),1.24045E+15
Upper respiratory tract infection caused by Wuhan 2019-nCoV (novel coronavirus),1.24054E+15
Encephalopathy caused by Wuhan 2019-nCoV (novel coronavirus),1.24056E+15
Myocarditis caused by 2019-nCoV (novel coronavirus),1.24053E+15
Pneumonia caused by Wuhan 2019-nCoV (novel coronavirus),1.24055E+15
Encephalopathy caused by 2019-nCoV (novel coronavirus),1.24056E+15
Detection of 2019-nCoV (novel coronavirus) using polymerase chain reaction technique,1.24051E+15
Confirmed 2019-nCoV (novel coronavirus) infection,1.28022E+16
Pneumonia caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24055E+15
COVID-19 confirmed by laboratory test,1.30072E+15
Gastroenteritis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24057E+15
Possible COVID-19,1.24076E+15
Probable COVID-19 confirmed using clinical diagnostic criteria,1.30073E+15
Myocarditis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24053E+15
Suspected COVID-19 caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24076E+15
Telephone consultation for suspected SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24045E+15
COVID-19 confirmed clinically,1.30073E+15
Otitis media caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24052E+15
Upper respiratory tract infection caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24054E+15
Telephone consultation for suspected 2019 novel coronavirus,1.24045E+15
Disease caused by 2019-nCoV (novel coronavirus),1.24075E+15
COVID-19 severity score,1.30063E+15
Detection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) using polymerase chain reaction technique,1.24051E+15
COVID-19 confirmed using clinical diagnostic criteria,1.30073E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detected,1.24058E+15
Myocarditis caused by Wuhan 2019-nCoV (novel coronavirus),1.24053E+15
Suspected disease caused by 2019-nCoV (novel coronavirus),1.24076E+15
Infection of upper respiratory tract caused by 2019 novel coronavirus,1.24054E+15
Gastroenteritis caused by 2019 novel coronavirus,1.24057E+15
Suspected COVID-19,1.24076E+15
Signposting to CHMS (COVID-19 Home Management Service),1.32123E+15
COVID-19,1.24075E+15
Encephalopathy caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24056E+15
SARS-CoV infection,398447004
Otitis media caused by 2019-nCoV (novel coronavirus),1.24052E+15
Gastroenteritis caused by 2019-nCoV (novel coronavirus),1.24057E+15
Detection of Wuhan 2019-nCoV (novel coronavirus) using polymerase chain reaction technique,1.24051E+15
Suspected disease caused by 2019 novel coronavirus,1.24076E+15
Pneumonia caused by 2019-nCoV (novel coronavirus),1.24055E+15
Encephalopathy caused by 2019 novel coronavirus,1.24056E+15
Suspected 2019-nCoV (novel coronavirus) infection,1.28022E+16
COVID-19 caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24075E+15
2019-nCoV (novel coronavirus) IgG detected,1.32154E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detection result positive,1.24058E+15
2019-nCoV (novel coronavirus) IgA detected,1.32176E+15
2019-nCoV (novel coronavirus) antibody detection result positive,1.32287E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) qualitative existence in specimen,1.3213E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result positive,1.32287E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive,1.24058E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgA detection result positive,1.32176E+15
Serotype SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24042E+15
Pneumonia caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),8.82785E+17
Disease caused by 2019-nCoV,840539006
Pneumonia caused by 2019 novel coronavirus,8.82785E+17
Infection of upper respiratory tract caused by 2019 novel coronavirus,1.24054E+15
Encephalopathy due to COVID-19,1.24056E+15
Myocarditis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24053E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive at the limit of detection,1.32488E+15
Otitis media due to COVID-19,1.24052E+15
Encephalopathy due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24056E+15
Detection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),871562009
Lymphopenia due to COVID-19,866151004
Detection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen,871553007
Suspected COVID-19,840544004
COVID-19 lower respiratory infection,8.8053E+17
Detection of ribonucleic acid of 2019 novel coronavirus in nasopharyngeal swab,871556004
Fever caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.19751E+14
Lymphocytopenia due to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),866151004
Acute respiratory distress syndrome due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),6.74814E+17
Detection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody,871552002
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result positive,1.32154E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result positive,1.32278E+15
Myocarditis due to COVID-19,1.24053E+15
Pneumonia caused by 2019-nCoV (novel coronavirus),8.82785E+17
Disease caused by 2019 novel coronavirus,840539006
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive,1.3246E+15
COVID-19 pneumonia,8.82785E+17
Detection of RNA (ribonucleic acid) of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) using polymerase chain reaction,871560001
Dyspnoea caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.19981E+14
Detection of COVID-19,871562009
Detection of ribonucleic acid of COVID-19 using polymerase chain reaction,871560001
Signposting to Your COVID Recovery,1.32502E+15
Serotype 2019-nCoV (novel coronavirus),1.24042E+15
COVID-19 detected,1.24058E+15
Suspected disease caused by 2019-nCoV (novel coronavirus),840544004
Suspected disease caused by 2019 novel coronavirus,840544004
Sepsis due to disease caused by COVID-19,870588003
COVID-19 acute bronchitis,1.38389E+17
Detection of 2019 novel coronavirus antibody,871552002
Detection of RNA (ribonucleic acid) of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) in oropharyngeal swab,871557008
COVID-19,840539006
Acute COVID-19 infection,1.32517E+15
Sepsis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),870588003
Lower respiratory infection caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),8.8053E+17
COVID-19 acute respiratory distress syndrome,6.74814E+17
Ongoing symptomatic COVID-19,1.32518E+15
Detection of RNA (ribonucleic acid) of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) in nasopharyngeal swab,871556004
Asymptomatic SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) infection,1.89486E+17
Suspected disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),840544004
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG qualitative existence in specimen,1.32132E+15
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result positive,1.32155E+15
2019-nCoV (novel coronavirus) antigen detection result positive,1.32278E+15
Cardiomyopathy due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.19731E+14
Acute hypoxemic respiratory failure due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),870590002
Asymptomatic COVID-19,1.89486E+17
Anti-SARS-CoV-2 IgG,870361009
Antibody to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.2404E+15
2019-nCoV (novel coronavirus) ribonucleic acid detected,1.3246E+15
Otitis media due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.24052E+15
2019-nCoV (novel coronavirus) detection result positive at the limit of detection,1.32488E+15
Post-COVID-19 syndrome,1.32516E+15
Acute kidney injury due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),870589006
Acute bronchitis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),1.38389E+17
Possible COVID-19,840544004
